Apartment,Address,Price,Beds,Amenities
Warehouse Lofts,"1703 N Tampa St, Tampa, FL 33602","$1,595 - $2,300",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Dishwasher', 'Refrigerator']"
Sun Bay Palms at South Tampa,"6237 S Manhattan Ave, Tampa, FL 33616","$1,749 - $2,260",2 Beds,"['Pets Allowed', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
Portofino Apartments,"8702 New Tampa Blvd, Tampa, FL 33647","$1,602 - $2,056",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Grove at Temple Terrace,"8741 Grove Terrace, Tampa, FL 33617","$1,225 - $1,475",2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Fitzgerald,"1211 E Kennedy Blvd, Tampa, FL 33602","$2,624 - $3,721",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Bay Crossing,"4711 S Himes Ave, Tampa, FL 33611","$1,399 - $3,448",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Cortland Lakecrest,"10420 N McKinley Dr, Tampa, FL 33612","$1,574 - $5,626",1-3 Beds,"['Pets Allowed', 'Pool', 'Dishwasher', 'Refrigerator', 'Kitchen', 'In Unit Washer & Dryer']"
Veranda at Westchase,"12401 W Hillsborough Ave, Tampa, FL 33635","$1,441 - $3,179",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Lodge at Hidden River,"14059 Riveredge Dr, Tampa, FL 33637","$1,608 - $3,827",1-3 Beds,"['Pets Allowed', 'Pool', 'Kitchen', 'In Unit Washer & Dryer', 'Stainless Steel Appliances']"
M South,"5110 S Manhattan Ave, Tampa, FL 33611","$1,947 - $3,330",1-3 Beds,"['Fitness Center', 'Pool', 'Clubhouse', 'Balcony']"
Anchor Riverwalk,"109 W Fortune St, Tampa, FL 33602","$1,977 - $6,858",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
The Pearl,"2110 N Ola Ave, Tampa, FL 33602","$2,207 - $4,144",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Oasis at Highwoods Preserve,"18311 Highwoods Preserve Pky, Tampa, FL 33647","$1,692 - $2,694",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Cortona South Tampa,"5145 S Dale Mabry Hwy, Tampa, FL 33611","$2,100 - $5,412",1-3 Beds,"['Pets Allowed', 'Pool', 'Clubhouse', 'Microwave', 'Grill', 'Business Center']"
Lector 85,"2409 E 2nd Ave, Ybor City, FL 33605","$1,486 - $5,127",Studio - 3 Beds,"['Pets Allowed', 'Pool', 'Maintenance on site']"
Doral Oaks,"105 Sunnyside Rd, Temple Terrace, FL 33617","$1,299 - $2,900",1-3 Beds,"['Pets Allowed', 'High-Speed Internet', 'Smoke Free']"
Havana Square Apartments,"400 N Rome Ave, Tampa, FL 33606","$1,863 - $5,773",1-3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Yard', 'Microwave']"
Olympus Harbour Island,"301 Harbour Place Dr, Tampa, FL 33602","$2,371 - $5,141",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
Grady Square,"2615 N Grady Ave, Tampa, FL 33607","$1,674 - $4,884",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Conference Rooms', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
Raintree Park,"12710 English Hills Ct, Tampa, FL 33617","$1,509 - $1,659",2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Grill', 'Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets']"
Lantower Westshore,"4504 W Spruce St, Tampa, FL 33607","$1,943 - $2,991",1-3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Fireplace', 'Stainless Steel Appliances']"
Tuscany Pointe at Tampa Apartment Homes,"3350 W Hillsborough Ave, Tampa, FL 33614","$1,365 - $2,528",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Business Center', 'Air Conditioning', 'Dishwasher', 'Granite Countertops', 'Microwave']"
Advenir at The Watson,"4502 W McCoy St, Tampa, FL 33616","$1,844 - $2,664",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Controlled Access', 'Recycling', 'Business Center', 'Grill', 'Gated', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Island Kitchen', 'Microwave', 'Refrigerator', 'Wi-Fi']"
The Foundry at NoHo,"800 N Howard Ave, Tampa, FL 33606","$1,868 - $2,966",Studio - 1 Bed,"['Pool', 'Fitness Center', 'Clubhouse', 'Controlled Access', 'Washer/Dryer', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen']"
The Rio Apartments,"7011 San Ramon Pl, Tampa, FL 33617","$1,400 - $2,050",2-3 Beds,"['Pool', 'Laundry Facilities', 'Clubhouse', 'Package Service']"
The Canopy Townhomes,"1505 E Comanche Ave, Tampa, FL 33610","$2,699 - $2,999",3 Beds,"['Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Granite Countertops']"
"Club at Hidden River, The","13564 Cypress Glen Ln, Tampa, FL 33637","$2,250 - $3,100",2-4 Beds,"['Pool', 'Clubhouse', 'Gated', 'Property Manager on Site', 'Walk-In Closets', 'Granite Countertops', 'Ceiling Fans', 'Double Vanities']"
"The Linx Apartments, LLC","4512 Blue Tee Ct, Tampa, FL 33613","$1,225 - $1,525",1-2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Air Conditioning', 'Patio', 'Ceiling Fans', 'Cable Ready']"
Carrollwood Station,"8781 White Swan Dr, Tampa, FL 33614","$1,328 - $2,126",1-2 Beds,"['Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
Hite & Notch Apartments,"6002 N Florida Ave, Tampa, FL 33604","$1,490 - $2,350",Studio - 2 Beds,"['Elevator', 'Recycling', 'Pet Washing Station', 'Property Manager on Site']"
Aurora,"124 S Morgan St, Tampa, FL 33602","$2,118 - $4,555",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Elevator', 'Concierge', 'Clubhouse', 'Controlled Access', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
The Grove Apartments,"13944 Sandy Hill Loop, Tampa, FL 33613","$1,200 - $1,600",1-2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors']"
Andover Club Apartments,"4824 E Busch Blvd, Tampa, FL 33617","$1,150 - $1,650",Studio - 2 Beds,"['Grill', 'Pet Play Area', 'Picnic Area', 'Maintenance on site', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Yard', 'Microwave', 'Refrigerator', 'Tub/Shower', 'Freezer']"
The Lenox,"11311 N 22nd St, Tampa, FL 33612","$1,150 - $1,500",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Elevator', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Tub/Shower']"
Vista North,"2200 Cedar Trace Cir, Tampa, FL 33613","$1,350 - $1,630",1-3 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup']"
The Preserve At Temple Terrace,"7855 E Fletcher Ave, Tampa, FL 33637","$1,425 - $2,000",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets']"
Palm Flats Apartments,"1550 University Woods Pl, Tampa, FL 33612","$1,399 - $1,749",2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Controlled Access', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower']"
Town Park Villas,"6064 Gibson Ave, Tampa, FL 33617","$1,945 - $2,149",3 Beds,"['Dishwasher', 'Granite Countertops', 'Microwave', 'Refrigerator']"
The River Pointe Apartments,"8024 Hidden River Dr, Tampa, FL 33617","$1,150 - $1,900",1-3 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Granite Countertops']"
Timber Trace Apartments,"11716 N 58th St, Tampa, FL 33617","$1,139 - $1,249",1-2 Beds,"['Dishwasher', 'Microwave', 'Refrigerator', 'Ceiling Fans']"
Armature Park Apartments,"7702 Rivergate Dr, Tampa, FL 33619","$1,524",2 Beds,"['Playground', 'Grill', 'Pet Play Area', 'Basketball Court', 'Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Granite Countertops']"
The Bahia Apartments,"2902 Sycamore Ct, Tampa, FL 33613","$1,150 - $1,850",Studio - 3 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse']"
The Wave Apartments,"14350 N 22nd St, Tampa, FL 33613","$1,075 - $1,150",1 Bed,"['Pool', 'Laundry Facilities', 'Playground', 'Gated', 'Dishwasher', 'Walk-In Closets', 'Granite Countertops', 'Refrigerator']"
"The Ava Apartments, LLC","4902 N Macdill Ave, Tampa, FL 33614","$1,000 - $1,550",Studio - 2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Business Center', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Refrigerator']"
Oak Chase Apartments,"12535 Tinsley Cir, Tampa, FL 33612","$513 - $1,417",1-4 Beds,"['Pool', 'Laundry Facilities', 'Furnished Units Available', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Disposal', 'Patio']"
Waverly Terrace,"8901 Bertha Palmer Blvd, Temple Terrace, FL 33617","$1,793 - $3,661",1-3 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Business Center', 'Washer/Dryer', 'Granite Countertops', 'Stainless Steel Appliances', 'Ceiling Fans']"
Seastone Apartments,"11050 Le Jardin Cir, Temple Terrace, FL 33617","$1,733 - $2,550",2-3 Beds,"['Pool', 'Pet Play Area', 'Property Manager on Site', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Heritage at Temple Terrace - One of a kind...,"10605 N 56th St, Temple Terrace, FL 33617","$1,499 - $1,995",2-3 Beds,"['Pool', 'Laundry Facilities', 'Picnic Area', 'Maintenance on site', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets']"
River Rock Apartments,"11301 N 53rd St, Temple Terrace, FL 33617","$1,733 - $2,550",2-3 Beds,"['Pool', 'Playground', 'Grill', 'Picnic Area', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Novus Westshore,"4310 W Spruce St, Tampa, FL 33607","$2,101 - $4,634",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Gated', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Microwave']"
The Morrison,"936 S Howard Ave, Tampa, FL 33606","$3,250 - $3,549",2 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Controlled Access', 'Recycling', 'Grill', 'Gated', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Microwave']"
NAVARA,"921 N Central Ave, Tampa, FL 33602","$1,969 - $4,131",Studio - 3 Beds,"['Air Conditioning', 'Dishwasher', 'Microwave', 'Dining Room']"
Azola South Tampa,"7701 Interbay Blvd, Tampa, FL 33616","$1,778 - $3,863",1-3 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Controlled Access', 'Air Conditioning', 'Dishwasher', 'Refrigerator', 'Tub/Shower']"
Greenbriar Apartments,"13214 Bunn Cir, Tampa, FL 33612","$1,300 - $1,425",1-2 Beds,"['Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Stainless Steel Appliances']"
Windsor Manor,"8610 Pine Tree Ct, Tampa, FL 33604","$1,400 - $1,950",1-3 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Property Manager on Site', 'Air Conditioning', 'Refrigerator', 'Disposal', 'Patio']"
Alton Westshore,"5320 S West Shore Blvd, Tampa, FL 33611","$1,805 - $5,138",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Controlled Access', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower']"
The Preserve at Tampa Palms,"17220 Heart Of Palms Dr, Tampa, FL 33647","$1,535 - $3,089",1-3 Beds,"['Pool', 'Playground', 'Clubhouse', 'Controlled Access', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Granite Countertops', 'Microwave', 'Refrigerator', 'Wi-Fi', 'Tub/Shower']"
Ascent Citrus Park,"8102 N Sheldon Rd, Tampa, FL 33615","$1,375 - $1,895",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Grill', 'Washer/Dryer', 'High Speed Internet Access', 'Walk-In Closets', 'Wi-Fi']"
MAA Belmere,"5102 Belmere Pky, Tampa, FL 33624","$1,409 - $2,665",1-2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Air Conditioning', 'High Speed Internet Access', 'Yard', 'Wi-Fi']"
Oasis at Ballast Point,"3730 W Bay Ave, Tampa, FL 33611","$1,200 - $1,750",1-2 Beds,"['Pool', 'Laundry Facilities', 'Grill', 'Picnic Area', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets']"
French Quarter,"6423 N Armenia Ave, Tampa, FL 33604","$1,349 - $1,840",1-2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Property Manager on Site', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets']"
Cypress Grand Apartments,"8134 Colonial Village Dr, Tampa, FL 33625","$1,770 - $2,742",1-3 Beds,"['Pool', 'Fitness Center', 'Concierge', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Heritage Cove,"7402 Heritage Hills Dr, Tampa, FL 33637","$1,399 - $1,725",2 Beds,"['Pool', 'Laundry Facilities', 'Concierge', 'Gated', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Refrigerator', 'Tub/Shower']"
The Commons,"3408 W Lancaster Ct, Tampa, FL 33614","$1,797 - $3,626",2-4 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Controlled Access', 'Recycling', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave', 'Refrigerator']"
The Park on Waters,"2701 W Waters Ave, Tampa, FL 33614","$1,355 - $1,810",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Refrigerator', 'Disposal', 'Fireplace']"
Park Del Mar Apartments,"19411 Via Del Mar, Tampa, FL 33647","$1,506 - $2,276",1-3 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Washer/Dryer', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave']"
2 Bayshore,"101 W Beach Pl, Tampa, FL 33606","$2,182 - $5,347",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Roof Terrace', 'Controlled Access', 'Recycling', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Society Westshore Apartments,"2202 N Lois Ave, Tampa, FL 33607","$1,791 - $4,635",Studio - 3 Beds,"['Fitness Center', 'Clubhouse', 'Roof Terrace', 'Business Center', 'Air Conditioning', 'Dishwasher', 'Microwave', 'Refrigerator']"
4800 Westshore,"4800 S Westshore Blvd, Tampa, FL 33611","$1,697 - $2,302",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Recycling', 'Business Center', 'Grill', 'Community-Wide WiFi', 'Package Service', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Varela Westshore Apartments,"1701 N Lois Ave, Tampa, FL 33607","$1,832 - $3,913",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Elevator', 'Clubhouse', 'Controlled Access', 'Recycling', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Microwave']"
Ascott Place Apartments,"14003 Saulk Ct, Tampa, FL 33613","$1,243 - $3,501",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
The Park at Avanti,"6161 Memorial Hwy, Tampa, FL 33615","$1,249 - $1,799",1-2 Beds,"['Pool', 'Laundry Facilities', 'Clubhouse', 'Business Center', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Refrigerator']"
Crosswynde Apartments,"1502 Marsh Cove Ct, Tampa, FL 33619","$1,485 - $4,201",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Patio']"
The Landings At Cypress Meadows,"3605 Landings Way Dr, Tampa, FL 33624","$1,325 - $2,095",1-3 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Disposal']"
The Beck at Hidden River,"8801 Hidden River Pky, Tampa, FL 33637","$1,668 - $3,982",1-3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Controlled Access', 'Recycling', 'Business Center', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
Westwood Reserve Apartments,"8801 Citrus Village Dr, Tampa, FL 33626","$1,630 - $3,003",1-3 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Recycling', 'Business Center', 'Grill', 'Gated', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Compton Place,"6000 Compton Estates Way, Tampa, FL 33647","$1,625 - $2,295",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Disposal']"
Windwood Oaks Apartments,"202 Windwood Oaks Dr, Tampa, FL 33613","$1,246 - $1,713",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Controlled Access', 'Business Center', 'Gated', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
Atwater Westchase,"6158 Beacon Isles Dr, Tampa, FL 33615","$1,399 - $1,749",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Controlled Access', 'Grill', 'Gated', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Microwave', 'Refrigerator', 'Tub/Shower']"
4050 Lofts,"4050 Rocky Cir, Tampa, FL 33613",$909 - $999,3-4 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Clubhouse', 'High Speed Internet Access', 'Wi-Fi', 'Smoke Free', 'Furnished']"
Lofton Place Apartments,"5412 Deerbrooke Creek Cir, Tampa, FL 33624","$1,242 - $2,337",1-3 Beds,[]
